CityID,CityName,CityRating,StartMonthToVisit,EndMonthToVisit,CityDesc
11,Rishikesh,4.3,September,June,"[' Located in the foothills of the Himalayas along the convergence of Ganga and Chandrabhaga River, Rishikesh is a small town in the Dehradun district, located close to Haridwar in Uttarakhand. Rishikesh (also called as Hrishikesh) is known for its adventure activities, ancient temples, popular cafes and as the ""Yoga Capital of the World"". Gateway to Garhwal Himalayas, Rishikesh is also a pilgrimage town and one of the holiest places for Hindus.', '', ' Rishikesh became known worldwide in the 1960s after The Beatles visited the ashram of Maharishi Mahesh Yogi here. Today, the place is popular as The Beatles Ashram which beckons tourists globally. The tranquil town has long been a spiritual centre but is equally popular for the whitewater rafting, bungee jumping, mountain biking and camping along the fast-flowing Holy Ganges. It also serves as the gateway to many Himalayan treks.As it lies on the holy banks of river Ganga, Rishikesh has been a hub of Sadhus (saints) with numerous ashrams teaching spirituality, yoga, meditation and Ayurveda springing up. Since it is a religious town, non-vegetarian food and alcohol are strictly prohibited here. Rishikesh sees the most beautiful evening aarti on the banks of the river Ganga, which is not too crowded unlike its contemporaries in Varanasi, and Haridwar. The International Yoga Festival is organised here in the first week of March which sees yoga enthusiasts from all over the globe.Rishikesh is divided into two main areas - the downtown area known as Rishikesh town which is where the popular Triveni Ghat is situated. 2 km upstream from the popular Ram Jhula and Lakshman Jhula is the other side of Rishikesh where most of the popular ashrams, cafes, accommodation and tourists can be found. Haridwar and Rishikesh are the first Indian cities to be given the title of ""twin national heritage cities"".']"
12,Alleppey,4.5,October,February,"[' Officially called Alappuzha, Alleppey is the picture-perfect place known for its beautiful backwaters and the houseboats offering overnight stays. The coastline of Alleppey offers some of the best beaches in Kerala with water sports during the dry season. ', '', ' Alleppey is located close to Kochi in the South Indian state of Kerala. Its palm-fringed inter-connect network of canal backwaters attracts a lot of tourists from all over the world. Coupled with other beautiful places in Kerala like Munnar and Thekkady, Alleppey is often considered for a honeymoon or for a great family vacation. There are plenty of houseboats, homestays, and rejuvenating Ayurvedic resorts that make staying in Alleppey brilliant. The houseboats pass through the serene backwaters, where you can catch glimpses of green paddy fields, choir-making activities, and witness the life of locals in Kerala.Be sure to catch a traditional snake boat race in the months of August and September and try out some toddy (palm wine) at a local toddy shop for adding a touch of authenticity to your travel experience in Allepey.']"
13,Shimla,4.2,March,June,"[' Shimla is the capital of Himachal Pradesh and a popular hill-station among Indian families and honeymooners. Situated at the height of 2200m, Shimla was the summer capital of British India. Shimla still retains its old-world charm with beautiful colonial architecture, pedestrian-friendly Mall Road and the ridge lined up with multiple shops, cafes and restaurants.', '', "" Shimla is well connected with many cities and is just 4 hours from the nearby city of Chandigarh. The city has an airport as well; however, there aren't many daily flights from here. The railway station connects Shimla with the plans and is famous for the Kalka-Shimla train route; a UNESCO listed World Heritage site.The weather is pleasant for most of the months with tourists flocking especially during the summer months. The winters are cold with some days of snow from mid-December till February end.Shimla is often covered along with nearby towns of Kufri, a hill-station almost always covered by snow and Chail, famous for a huge palace and the highest cricket ground in the world. Tourists also visit the famous Jakhu Temple and engage in sightseeing at various viewpoints during their trip to Shimla.""]"
14,Ooty,4.3,October,June,"[' Nestled amidst Nilgiri hills, Ooty, also known as Udagamandalam, is a hill station in Tamil Nadu which serves as a top-rated tourist destination. Once regarded as the summer headquarters of the East India Company, the Queen of the hills is a picturesque getaway.', '', "" Dotted with tea gardens, serene waterfalls, winding country lanes, and charming colonial architecture, Ooty is the perfect respite everyone. Popular among couples and honeymooners, Ooty allures its visitors with the panoramic views of the Nilgiri mountains. The Nilgiri mountain railway is the steepest track in all of Asia. Remember the hit song 'Chaiyya Chaiyya' where Shahrukh Khan and Malaika Arora matching steps on top of a train? Remember the breathtaking locales as the train chugged its way across lush greenery? Yes, that was the Nilgiri Mountain Railways, and the Nilgiri Mountains all along.""]"
15,Jaipur,4.4,November,March,"[' Also called the Pink City, Jaipur is the capital of the royal state of Rajasthan. Along with Delhi and Agra, Jaipur forms the Golden Triangle and hails as one of the most famous tourist circuits in the country.', '', "" Rajputs ruled Jaipur for many centuries and developed as a planned city in the 17th century AD. With the old city surrounded by walls and gates decorated with drawings on the backdrop of a beautiful pink hue, Jaipur, the pink city, successfully retains its old-world charm. Home to a few UNESCO World Heritage sites, including Amer Fort and Jantar Mantar, Jaipur holds many magnificent forts, palaces, temples and museums and brims with bustling local bazaars where you can shop to your heart's content. The city is also very well known for its local food, and the most famous dishes include the Ghewar, Pyaaz Kachori and Dal Baati Churma. The city also hosts the Jaipur Literary Festival, which is Asia's biggest festival of its kind.One of the largest cities in India, Jaipur is also home to all the modern amenities with some of the most exotic hotels and resorts in the world. The city boasts an international airport and is also very well connected by rail and road. This makes Jaipur the gateway to Rajasthan - the starting point for places to visit in the interiors of the state. The metro, local buses, shared tuk-tuks, auto-rickshaws and taxi aggregator apps, including Uber and Ola, solve the commute problem in the city quite comfortably.""]"
16,Kodaikanal,4.4,October,June,"["" Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. A Lakeside resort town of Tamil Nadu, Kodaikanal has a beautiful climate, mist-covered manicured cliffs and waterfall that come together to create the ideal setting for a perfect getaway. Kodaikanal means 'the gift of the forests'."", '', ' Nestled amidst the rolling slopes of the Palani Hills, Kodaikanal stands at an altitude of 7200 feet above sea level, and once you visit this hill station, you will find that every bit of what you have imagined it to be is real. Kodaikanal is a place you can go to take a break from the rigours of daily city life, and this hill station lets you sit back and connect with nature as you head out on biking or trekking trails or take a stroll through the vast forests surrounding the town.']"
17,Varanasi,4.5,October,March,"["" World's oldest living city, Varanasi - also known as Kashi (City of Life) and Benaras, is the spiritual capital of India. It is one of Hinduism's seven holy cities. The old city of Varanasi lies along the western banks of the Ganges, spread across a labyrinth of narrow galis. Be prepared to walk on foot and encounter some holy cows! Temples at almost every turn engulf Varanasi but the Kashi Vishwanath Temple is the most visited and the oldest of the lot. Benaras is known as the city of Lord Shiva for a reason, and rightfully so."", '', "" Varanasi is considered an auspicious place to die, as it is believed to grant moksha or liberation from the cycle of life and death. Spiritually enlightening, the heart of the city pulsates around the ghats, about 80 of which border the Ganges. Be prepared for the sights, sounds and smells! Don't miss out on the hot chaat and cool lassi. Though, all chaos and noise on the ghats take a pause before dusk when the Ganga Aarti begins to take place, a ceremony of immense grandeur. This divine city is also an important destination for Buddhists. Gautam Buddha preached his first sermon in Benaras, a part which is now in Sarnath. ""]"
18,Mumbai,4.2,October,February,"[' Mumbai, the capital city of the Indian state of Maharashtra, is a spectacular paradox of chaos and hope, glamour and squalor, modernity and tradition. Famously known as the City of Dreams, Mumbai – formerly known as Bombay - Mumbai is a beautifully blended melting pot of cultures and lifestyles.', '', ' The city soaks in everything into its fabric, making it its very own. From upcoming actors struggling to make it big on the silver screen; from Bolly superstars to big industrialists to tribes of fisherman and slum dwellers, Mumbai is a city that proudly boasts of stories from different walks of human survival.One of the main centres in the country of art, culture, music, dance and theatre, Mumbai is a dynamic, cosmopolitan city that has been running for years solely on the indomitable spirit of the Mumbaikars.']"
19,Amritsar,4.4,October,March,"[' Home of the glorious Golden Temple, the iconic city of Amritsar, portrays the heroic character of Punjab.  The second-largest city of the Indian state of Punjab, Amritsar is colloquially known as Ambarsar. Apart from the Golden Temple, Amritsar is known for its lip-smacking street food.', '', ' Amritsar is the spiritual and cultural centre of the Sikh Religion. Baisakhi festival brings out Amritsar\'s resplendent face with its finest food, clothes and merry-making. This place is also famous for its Jallianwala Bagh massacre and its proximity to Wagah Border.  From Operation Blue Star in the Golden Temple to the tragedy of the Jallianwala Bagh massacre, Amritsar has seen the worst of situations and yet emerged like a phoenix through testing times. Amritsar today is a thriving city with active trade and tourism industries.A day in this peaceful city starts with the spiritual prayers from Gurudwaras. The original name is first the ancient lake, then the temple complex, and later the surrounding city, meaning ""pool of ambrosial nectar."" One of the most agriculturally productive cities of India, Amritsar is well connected with most of the important cities of India.']"
20,Delhi,4.1,October,March,"[' The capital of India, Delhi is a cosmopolitan city with a historic old Delhi and the modern New Delhi. From historical monuments to crowded shopping malls, from an extensive network of the modern metro system to Delhi University campus, Dilli has multiple personalities and is considered to be the city with a heart.', '', "" The narrow, winding lanes and bylanes of old Delhi are a testament to the former Mughal rule. Old Delhi houses one of the country's oldest and busiest market – Chandni Chowk.Take time to explore historical monuments such as the Red Fort, Jama Masjid, Humayun's Tomb and Purana Qila if you want to explore the Mughal History. Delhi has famous temples scattered all across the city, a few noteworthy ones being the Akshardham Temple, the Lotus Temple (also known as the Bahai Temple), and the ISKON Temple.People in Delhi love to eat, and tourists will find themselves spoilt for choice between the multitude of dishes on offer at every corner of every street. From kebabs and tikkas to Chhole Bhature, Delhi is a melting pot of diverse cultures, and this fact is reflected in the culinary palette of the city. There are a number of cafes and restaurants for the travellers.Central Delhi is the concentration of the country's political power, and the must-visit places here include the Connaught Place,  drive from outside of Rashtrapati Bhawan on Raisina Hill (visitors are not allowed to go inside), the Rajpath, and the India Gate. The best place to visit this area is in the evening, as all the buildings are lit up, and you can see the Amar Jawan Jyoti at India Gate shining brightly.Delhi is a shopper's paradise with some colourful bazaars and upscale markets. The wide variety of markets in Delhi ensure that travellers go back home with double the luggage they came with!""]"
21,Wayanad,4.3,October,May,"[' Replete with waterfalls, historical caves, comfortable resorts and homestays, Wayanad in Kerala is famous for its spice plantations and wildlife. Walking through the sprawling spice plantations, trekking to the pre-historic caves and experiencing a resort holiday are one of the many things you can do to get a taste of Wayanad.', '', ' Wayanad is best known for the wildlife reserves - Wayanad wildlife reserve which is home to an exquisite variety of flora and fauna. Wayanad wildlife reserve is an integral part of the Nilgiri biosphere reserve peacefully located amidst the serene hills of Western Ghats. Wayanad homes a wide variety of wildlife like elephants, leopards, and bears. Wayanad is a perfect weekend idea from the cities of South India. If taking a road trip from Bangalore, you will drive through three national parks: Nagarhole, Bandipur and Mudumalai.']"
22,Haridwar,4,October,February,"["" Haridwar is one of the seven holiest cities in India, situated in Uttarakhand. It is located where the sacred river Ganga enters the Indo-Gangetic plains for the first time. Dotted with temples, ashrams and narrow lanes across the city, Haridwar is a famous Hindu temple town where millions of devotees come to take a dip in the holy Ganges. It's believed that taking a dip in the sacred Har Ki Pauri relieves one of all the sins."", '', ' The highlight of Haridwar is the famous Ganga Aarti held at the Har ki Pauri Ghat every evening. Thousands of devotees come together to pray to river Ganga and float diyas. Haridwar is one of the four cities (others being Ujjain, Nasik and Allahabad) that host the Kumbh Mela every twelve years. The Kanwar Mela is also organised here every year during saawan (rainy season). It is also the gateway to the Char Dham of Uttarakhand and acts as the base destination for some of the other tourist towns of Rishikesh and Devprayag.According to Hindu traditions, there are Panch Tirth (five pilgrimages) within Haridwar. These are Har ki Pauri (Gangadwar), Ghat (Kushwart), Kankhal, Mansa Devi Temple (Bilwa Tirth) and Chandi Devi Temple (Neel Parvat). Haridwar is also known globally for Ayurveda, meditation and yoga. Since it is a religious centre, alcohol and non-vegetarian food are not permitted here. The city is well connected by bus and trains but is especially busy during the yatra season from May to October.']"
23,Mahabaleshwar,4.4,December,February,"[' Mahabaleshwar is a hill station located in the Western Ghats, in Satara district of Maharashtra. Apart from its strawberries, Mahabaleshwar is also well known for its numerous rivers, magnificent cascades and majestic peaks. It is among the most sought after weekend getaways from Pune & Mumbai, located about 120km south-west of Pune and 285km from Mumbai.', '', ' Mahabaleshwar is also a sacred pilgrimage place for Hindus as the Krishna river originates from here. Once a summer capital of the British, the hill station of Mahabaleshwar comprises of ancient temples, boarding schools, manicured and lush green dense forest, waterfalls, hills, valleys. It is often used as a base to visit the magnificent Pratapgad Fort, located an hour away.Malcolm Peth, Old Kshetra Mahabaleshwar and a region of the Shindola village are the three villages that make up Mahabaleshwar.']"
24,Kasol,4.4,October,June,"["" Kasol is a quaint little village in Himachal situated along the banks of the river Parvati. Commonly known as the 'Amsterdam of India', Kasol is a tourist attraction that is rapidly gaining fame as a popular hub for trekkers, backpackers, and nature lovers. Kasol is situated 23 kms from Bhuntar and next to the religious town of Manikaran and is one of the best places in the country just to sit back and chill in the panorama of snow-clad mountains, pine trees and gurgling river."", '', ' Kasol is famous for its trekking trails, which include treks to Kheerganga, Yanker Pass, Sar Pass, and Pin Parbati Pass. To get a real feel of the culture in this region, go on a visit to the village of Malana. Located a few kilometres away from Kasol, Malana is a tiny hamlet inhabited by people living in self-imposed isolation. The people of Malana claim themselves to be Aryan descendants, as a result of which they avoid interaction with outsiders. The village has plenty of scenic sights, though, and is often called ‘Little Greece’.Kasol is inhabited by a huge number of people from Israel, which is discernible from the plenteously available Israeli food, and the street signposts inscribed in Hebrew. Kasol has quite a few streetside cafes which serve delicious food, and the experience of sitting and enjoying a meal amidst the dark green forests and the awe-inspiring mountains make the meal even more enjoyable.Kasol has a flea market that sells a variety of items, so you can pick up trinkets, souvenirs, pendants, and even semi-precious stones to take back home for family and friends.']"
25,Nashik,4,July,March,"[' Nasik is a religious Hindu city, host to the Kumbh Mela every 12 years. It also makes for a perfect wine tasting destination.', '', "" Nashik (Nasik), named after a relic associated with Ramayana, is a city in Maharashtra located on the banks of river Godavari. Nashik plays host to the famous Kumbh Mela every 12 years. The city is home to plenty of exotic temples and is known in Hindu mythology as the place where Ravana's sister, Surpanakha, tried to seduce Lord Ram and got her nose cut off by Lakshman in the process. Its religious importance doesn't end there. It also plays host to the thousands of tourists visiting Shirdi and Trimbakeshwar. Apart from its temples, Nashik also has forts, waterfalls and vineyards to look out for. With multiple vineyards present in Nashik, the most popular being Sula, the wine-tourism industry is mushrooming in this part of Maharashtra. Nashik gives you the chance to experience a fabulous cocktail of extremes - from temples to vineyards, hills to waterfalls, this place offers a lot to see.""]"
26,Tirupati,4.5,September,March,"[' Situated in the Chittoor district of Andhra Pradesh, Tirupati is known for Lord Venkateshwara Temple, one of the most visited pilgrimage centres in the country. Tirumala is one of the seven hills in Tirupati, where the main temple is located. The temple is believed to be placed where Lord Venkateshwara took the form of an idol and is hence home to the diety Govinda. Tirupati is one of the oldest cities of India and finds mention in plenty of ancient Vedas and Puranas.', '', ' The non-stop chanting of ‘Om Namo Venkatesaya’, the mad pilgrim rush and the 8-feet tall idol of Lord Venkateshwara – everything about the Sri Venkateshwara Temple is majestic. Spread over an area of 26 kilometres and visited by nearly 50,000 pilgrims every day, the temple is also commonly referred to as the Temple of Seven Hills.There are other temples in Tirupati too that you can visit, including the Sri Kalahasti temple, Sri Govindarajaswami Temple, the Kondandarama Temple, the Parashurameshwara Temple, and the ISKCON temple. Tirupati is home to a unique geological wonder that you shouldn’t miss out on! The Silathoranam is a natural arch formed out of rocks and is located at the Tirumala Hills. ']"
27,Dharamshala,4.1,October,February,"["" Dharamshala or Dharamsala city is located in Kangra district at 18 km from Kangra city in Himachal Pradesh. The state's winter capital, Dharamshala, is separated as upper and lower divisions with different altitudes. The lower division is the Dharamsala town itself, whereas the upper division is located 3 km away and is popularly known as Mcleodganj. Dharamsala is prominently visited for the bus connections and the bustling market."", '', ' Dharamsala is the home to Dalai Lama, the Buddhist leader who runs his government in exile from Dharamsala. Now, what better place on earth than this little town set on the foothills of Dhauladhar ranges to experience the rich and regal Tibetan culture. In 1959, Dalai Lama came to India with his followers and settled, rather beautifying the town of Dharamsala, transforming it into the little Lhasa. Dharamsala, for many years, has been a centre of meditation and peace.']"
28,Gir National Park,4.2,June,October,"[' Gir National Park and Wildlife Sanctuary is the only remaining home for the Asiatic Lions. Located in Talala Gir in Gujarat, the Sanctuary is a part of Kathiawar- Gir dry deciduous forests ecoregion. Gir National Park is closed from 16 June to 15 October every year and the best time for wildlife spotting is April and May.', '', ' Gir provides you with the unique experience of visiting a place which almost singularly plays a crucial and defining role in the preservation and sustaining of a certain species. The preservation of these lions was initiated by the Nawab of Junagadh when these were just about to enter the phase of extinction due to hunting. The official count said that there were 411 lions in 2010. Also, there are roughly different 2375 species of fauna here with 38 species of mammals, over 300 species of birds, 37 species of reptiles and over 2000 species of insects. Other important wildlife forms found here are leopard, chausingha, spotted deer, hyena, sambar deer and chinkara.']"
